id,person_id,place_id,earliest_attested_day,earliest_attested_year,earliest_attested_month,latest_attested_day,latest_attested_year,latest_attested_month,role,hypothesized,resident,source,movement_notes
1126,75,124,,1584,,,,,Merchant,false,true,"Picot, Les italiens en France, p. 107",<p>He had business in Lyon.</p>
969,86,1,,1584,,,,,Courtesan,false,true,"DBI, ad vocem",<p>He permanently moved to Paris.</p>
1321,79,1,,1584,,,1587,,Lady-in-waiting to Catherine de' Medici,true,true,,
1507,293,124,,1584,,,,,Merchant,true,true,,
1426,365,1,,1583,,,1584,,Merchant,true,true,,
1410,342,124,1583-03-26,1583,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 459</p>",<p>Bill of exchange sent from Giulio Benci in Florence to Pier Antonio Bandini and Alfonso Strozzi</p>
1010,72,124,1583-03-26,1583,3,,1584,,Merchant,false,true,"<p>26-3-1583: SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 459 - 1584: Picot, Les italiens en France, p. 107</p>",<p>26-3-1583: Bill of exchange in favor of Luigi and Francesco Capponi - 1584: He had business with Francesco Spina e Niccol&ograve; Spina.</p>
1413,344,124,1583-09-26,1583,9,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 461</p>",<p>Bill of exchange sent from Averardo and Antonio Salviati to Bartolomeo Galilei</p>
1411,321,124,1583-03-26,1583,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 459</p>",<p>Bill of exchange sent to Pier Antonio Bandini and Alfonso Strozzi in favor of Luigi and Francesco Capponi</p>
1409,325,124,1583-03-26,1583,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 459</p>","<p>Bill of exchange sent from Giulio Benci in Florence to Pier Antonio Bandini and Alfonso Strozzi in Lyon, in favor of Luigi and Francesco Capponi.</p>"
1412,343,124,1583-09-17,1583,9,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 460</p>",<p>Bill of exchange in favor of Jacopo Martelli.</p>
1632,153,1,,1582,10,,1587,2,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 82-85</p>",<p>He sent letters to Pinelli.</p>
1238,293,124,,1582,6,,1583,6,Consul of the Florentine Nation in Lyon,false,true,"<p>Picot, Les iteliens &nbsp;en France, p. 96.</p>",<p>He was elected consul of the Florentine Nation.</p>
1048,95,124,,1582,,,,,Merchant,false,false,"<p>Dubost, La France italienne, p. 222.</p>",<p>He had business with Raffaello Martelli and Lucrezia Cavalcanti.</p>
1151,112,1,,1582,,,,,Merchant,false,false,"Campitelli, Lucrezia Del Bene, p. 92","<p>He had business in Lyon with Lucrezia Cavalcanti, Girolamo Gondi and Sebastiano Rametti (torinese).</p>"
1421,365,1,,1582,,,,,Merchant,false,true,"<p>DBI, Bandini Pierantonio</p>",<p>He had business with his aunt Lucrezia Cavalcanti (Del Bene) and Raffaello Martelli</p>
1416,350,124,1582-08-14,1582,8,1583-09-26,1583,9,Merchant,false,true,"<p>14-8-1582: SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 453 - 26-3-1583: Ivi, num. 459 - 17-09-1583: Ivi, num. 460 - 26-9-1583: Ivi, num. 461</p>",<p>14-8-1582: Bill of exchange of Antonio and Averardo Salviati - 26-3-1583: Bill of exchange in favor of Antonio and Averardo Salviati - 17-09-1583: Bill of exchange of Antonio and Averardo Salviati- 26-09-1583: Bill of exchange of Antonio and Averardo Salviati</p>
1405,329,124,1582-08-14,1582,8,1583-09-26,1583,9,Merchant,false,true,"<p>14-8-1582: SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 453 - 26-3-1583: Ivi, num. 459 - 17-9-1583: Ivi, num. 460 - 26-9-1583: Ivi, num. 461</p>","<p>14-8-1582: Bill of exchange sent from Antonio and Averardo Salvati to Giovanni Iacopo Casole and Carlo Marocco in Naples, in favor of Camillo Rucellai in Lyon - 26-3-1583: Bill of exchange in favor of Antonio and Averardo Salviati - 17-9-1583: Bill of exchange sent from Averardo and Antonio Salviati - 26-9-1583: Bill of exchange sent from Averardo and Antonio Salviati.</p>"
1630,153,122,,1582,3,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 82</p>",<p>He sent a letter to Pinelli. He was with the Franch court.</p>
1406,340,124,1582-08-14,1582,8,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 453</p>",<p>Bill of exchange sent from Antonio Salviati in favor of Camillo Rucellai in Lyon</p>
1631,153,192,,1582,9,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 82</p>",<p>He sent a letter to Pinelli. He was with the French court.</p>
1625,153,118,1581-03-16,1581,3,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 79</p>",<p>He sent a letter to Pinelli. He was with the Court.</p>
1628,153,192,,1581,7,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 79</p>",<p>He sent a letter to Pinelli.</p>
1144,111,124,,1581,,,,,Merchant,false,true,"Picot, les italiens en France, p. 96","<p>In Lyon Lorenzo Condio dedicated his ""Medicina filosofica contro la peste"" to Piero Mannelli.</p>"
1082,79,1,1581-07-30,1581,7,,1583,,Lady-in-waiting to Catherine de' Medici,false,true,"<p>1581: Calderini De Marchi, Jacopo Corbinelli, p. 80</p>
<p>1582: Campitelli, Lucrezia Del Bene, p. 92&nbsp;</p>
<p>1583: Dubost, La France italienne, p. 195</p>","<p>1581: She was mentioned in a letter of Jacopo Corbinelli.</p>
<p>1582: She had business with Raffaello Martelli,Mario Bandini (her nephew), Girolamo Gondi and the Turinese Sebastiano Rametti.</p>
<p>1583: She was godmother of Jacopo Corbinelli's son.</p>"
1629,153,1,1581-07-30,1581,7,,1582,2,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 80-82</p>",<p>He sent letters to Pinelli.</p>
1624,153,1,1581-01-11,1581,1,,,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 79</p>",<p>He sent a letter to Pinelli.</p>
1627,153,1,1581-06-01,1581,6,,,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 79</p>",<p>He sent a letter to Pinelli.</p>
1626,153,1,1581-04-15,1581,4,,,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 79</p>",<p>He sent a letter to Pinelli.</p>
1425,326,124,,1580,,,1600,,Merchant,false,true,"<p>Dubost, La France italienne, p. 139</p>",<p>He lived in Paris in the large house of Del Bene family in rue de Tournon&nbsp;</p>
1320,79,1,,1580,,,,,Lady-in-waiting to Catherine de' Medici,true,true,,
1617,573,190,,1580,,,,,Soldier,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 70</p>",<p>He was killed by Florentine killers.</p>
1623,153,118,1580-12-06,1580,12,1580-12-15,1580,12,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 78, 256-257.</p>",<p>He sent letters to Pinelli.</p>
1622,153,191,,1580,9,1580-11-18,1580,11,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 76-77</p>",<p>He sent letters to Pinelli.</p>
996,63,124,,1579,,,,,Post Master,false,false,"<p>Charpin Feugerolles, Les florentins &agrave; Lyon, p. 192</p>",<p>Post Master of the Florentine community of Lyon.</p>
1620,153,124,1579-11-11,1579,11,,1580,5,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 75</p>",<p>He sent letters to Pinelli. He was in Lyon with the Queen Caterina de' Medici.</p>
1619,153,1,,1579,3,,1579,10,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 73-74</p>",<p>He sent letters to Pinelli.</p>
1610,566,1,1578-02-02,1578,2,,,,Soldier,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, vol 4, p. 138</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Gran-Duke Francesco I.</p>
1618,566,1,,1578,11,,,,Soldier,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 71</p>",<p>He was mentioned in a letter of Jacopo Corbinelli.</p>
1616,572,1,1578-02-06,1578,2,,,,Clergyman,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, vol. 4 p. 143</p>","<p>He was mentioned as ""a poco devoto servitore di Vostra Altezza"" in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>"
1615,571,1,1578-02-02,1578,2,,,,Military leader,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, p. 139</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>
1614,570,1,1578-02-02,1578,2,,,,Exile,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, p. 139</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>
1613,569,1,1578-02-02,1578,2,,,,Military leader,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, p. 138</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>
1612,568,1,1578-02-02,1578,2,,,,Military leader,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, p. 138</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>
1611,567,1,1578-02-02,1578,2,,,,Soldier,false,false,"<p>N&eacute;gociations diplomatiques de la France avec la Toscane, p. 138</p>",<p>He was mentioned in a letter of Sinolfo Saracini to the Grand Duke Francesco I.</p>
1232,154,124,,1578,,,,,Scholar,false,false,"<p>Picot, Les italiens en France, p. 108.</p>","<p>Paolo Mini dedicated his<em> Aggiunta a la sua Apologia, ovvero Difesa de i Fiorentini</em> to Orazio Capponi.</p>"
1494,468,124,,1578,6,,1579,6,Consul of the Florentine Nation in Lyon,false,true,"<p>Charpin Feugerolles, Les florentines &agrave; Lyon, p. 192</p>",<p>He was Consul of the Florentine nation in Lyon.</p>
1424,326,124,,1578,,,1580,6,Merchant,false,true,"<p>Dubost, La France italienne, p. 222 - 1579: Charpin Feugerolles: Les florentines &agrave; Lyon, p. 142</p>",<p>He lived in Lyon and had business with Lucrezia Cavalcanti-Del Bene (who was in Paris) and Luigi Sertini. From a 6-1579 to 6-1580: He was Consul of the Florentine nation in Lyon.</p>
1122,125,124,,1578,,,,,Merchant,false,false,"Dubost, La France italienne, p. 222",<p>He had business in Lyon with Lucrezia Del Bene.</p>
1081,79,1,,1578,,,1579,,Lady-in-waiting to Catherine de' Medici,false,true,"<p>1578: Calderini De Marchi, Jacopo Corbinelli, p. 69</p>
<p>1579: Campitelli, Lucrezia Del Bene, p. 92</p>","<p>1578: She was mentioned in letters of Jacopo Corbinelli.</p>
<p>1579- She extended his house in Paris.</p>"
1608,153,1,1577-01-01,1577,1,,,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 66</p>",<p>He sent a letter to Pinelli.</p>
1248,156,1,,1577,,,1578,11,Courtesan,false,true,"<p>DBI, ad vocem.</p>",<p>He was guarded by the agents of the Grand-Duke Francesco I de' Medici. He died on 22 November 1578.</p>
1609,153,1,,1577,4,,1579,1,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 66-73</p>",<p>He sent letters to Pinelli.</p>
1638,574,1,,1577,12,,,,Exile,false,false,"<p>DBI, Corbinelli Jacopo.</p>",<p>He was killed by agents of the Duke Cosimo I de' Medici.</p>
1292,173,163,,1577,,,,,Archbishop,false,true,"<p>DBI, ad vocem.</p>",<p>He became Archbishop of Albi.</p>
1293,173,164,,1576,,,,,Clergyman,false,true,"<p>DBI, ad vocem.</p>",<p>He resides in the castle of Auriol.</p>
1404,329,124,1576-09-15,1576,9,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 449</p>",<p>Bill of exchange of Antonio Salviati to the heirs of Benedetto Buonvisi</p>
1415,350,124,1576-09-15,1576,9,,,,Merchant,false,true,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 449</p>",<p>Bill of exchange of Averardo and Antonio Salviati</p>
1527,552,177,,1576,,,1577,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 95-96</p>",<p>1576: He was named Mayor - 1577: He hosted King Henry III.</p>
1607,153,1,,1575,3,,1576,7,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 65-66 - 7-1576: BAM, B 9 inf., &nbsp;c. 173</p>",<p>He sent letters to Pinelli.</p>
1605,86,135,,1575,1,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, parte 2 cap. 5</p>",<p>He was with the King and his court.</p>
1604,153,135,,1575,1,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 63</p>",<p>He was with the King and his Court.</p>
1606,153,124,1575-02-05,1575,2,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 63</p>","<p>He sent a letter to Pinelli. He was named ""Lecteur du Roi"".</p>"
1024,55,1,2024-07-29,1575,7,,,,Clergyman,false,false,"Bramanti, Lettere di Luigi Alamanni, p. 158",<p>He wrote a letter from Paris to Vincenzo Borghini.</p>
1503,64,124,,1575,4,,,,Merchant,false,true,"<p>ASF, CS, Serie V, 1090, inserto 2, cc. non numerate.</p>",<p>Financial record of his business in Lyon.</p>
1291,173,110,,1574,,,,,Archbishop,false,true,"<p>DBI, ad vocem.</p>",<p>He became Archbishop of Aix.</p>
1460,382,1,,1574,,,,,,false,true,"<p>DBI, Gondi Guidobaldo</p>",<p>Death</p>
1602,153,124,,1574,10,,1574,11,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 61-62</p>",<p>He sent letters to Pinelli. He has been in Poland.</p>
1603,153,116,1574-12-15,1574,12,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 62</p>",<p>He sent a letter to Pinelli.</p>
1070,107,1,,1574,,,1578,,Queen's lady,false,true,"<p>BNF, Fran&ccedil;ais 7856, c. 1133.</p>",<p><em>Fille d'honneur de&nbsp;</em>Caterina de' Medici.</p>
1277,125,124,,1574,,,1577,,Merchant,true,true,,
1074,73,124,,1573,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, p. 107 and Doucet, La banque Capponi &agrave; Lyon, p. 6</p>",<p>He helped most deprived persons in Lyon during famine. Death.</p>
1435,373,1,1572-06-24,1572,6,,1578,1,Nuncio,false,true,"<p>DBI, ad vocem</p>",<p>He moved to France as nuncio</p>
1601,153,1,,1572,3,1573-10-24,1573,10,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 55-58 - BAM: B 9. inf. cc. 148-176</p>",<p>He sent letters to Pinelli.</p>
1600,121,1,,1572,3,,,,Courtesan,false,false,"<p>Calderini De Marchi, p. 55</p>",<p>He was mentioned in a letter of Jacopo Corbinelli.</p>
1121,125,124,,1572,9,,1573,3,Merchant,false,true,"<p>&nbsp;Dubost, La France italienne, p. 228.</p>",<p>He lent money to the French monarchy and had business with Lucrezia Del Bene.</p>
968,86,1,,1571,,,,,Courtesan,false,true,"<p>DBI, ad vocem</p>","<p>He was named ""lector"" of the King Henri III and member of the Academie du Palais.</p>"
1408,341,116,1571-12-14,1571,12,,,,Clergyman,false,false,"<p>DBI, ad vocem</p>",<p>Death</p>
1598,153,118,,1571,8,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 55</p>",<p>He sent a letter to Pinelli.</p>
1599,153,1,,1571,9,,,,Courtesan,false,true,"<p>BAM, B 9 inf., c. 146r</p>",<p>He sent a letter to Pinelli.</p>
1434,373,1,,1571,11,,1572,1,Nuncio,false,false,"<p>DBI, ad vocem</p>",<p>He moved to France as extraordinary nuncio</p>
1433,373,1,,1571,3,,1571,6,Nuncio,false,false,"<p>DBI, ad vocem</p>",<p>He moved to France as extraordinary nuncio</p>
1076,108,118,,1571,9,,,,Courtesan,false,false,"<p>Picot, les italiens en France, p. 96.</p>",<p>Death.</p>
1276,125,124,,1571,,,,,,true,true,,
1252,158,149,,1571,8,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 55.</p>",<p>He reached Jacopo Corbinelli and the French Court.</p>
1240,108,1,1571-04-25,1571,4,,,,Courtesan,false,false,"<p>ASMo, Archivio Segreto Estense, Casa e Stato, Carteggio tra principi estensi, b.162</p>","<p>His name appears in a letter of Cardinal Luigi d'Este to the Duke Alfonso II d'Este: ""Luca Mannelli Fiorentino [...] mi pare che sia sempre stato reputato per uno dei capi principali dei ribelli del Duca di Fiorenza"".</p>"
1143,111,124,,1571,,,,,Merchant,false,true,"Picot, les italiens en France, p. 96",<p>He had business in Lyon.</p>
1594,153,1,,1570,9,1570-11-09,1570,11,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 51</p>",<p>He sent letters to Vincenzo Pinelli.</p>
1120,125,124,,1570,,,,,Merchant,false,false,"Dubost, La France italienne, p. 229",<p>He had business in Lyon with Del Bene family.</p>
1250,158,1,,1570,,,1571,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 53.</p>","<p>He lived with Jacopo Corbinelli and Andrea Rinieri, attending the French Court.</p>"
1595,153,188,1570-11-26,1570,11,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 51-52</p>",<p>He took part at the marriage of the King Charles IX.</p>
1009,72,124,,1570,,,,,Consul of the Florentine Nation in Lyon,false,true,"<p>Picot, Les italiens en France, p. 107.</p>",<p>He had business in Lyon and he's appointed Consul of the Florentine Nation in Lyon</p>
1596,153,1,1570-12-05,1570,12,1571-08-06,1571,8,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 52-54 - &nbsp;(6-8-1571) BAM: B 9 inf., c. 144r</p>",<p>He sent letters to Pinelli.</p>
1597,153,189,1570-07-09,1570,7,,,,Courtesan,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 50</p>","<p>In a letter to Pinelli (10 July), Corbinelli wrote that he has just arrived in Paris from Gaillon.</p>"
1523,550,1,,1570,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 94-95</p>",<p>He had business in Paris.</p>
1593,153,124,1570-07-28,1570,7,,,,Scholar,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 51</p>",<p>He sent a letter to Pinelli.</p>
1251,121,1,,1570,,,1571,,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 53.</p>","<p>He lived in Paris with Jacopo Corbinelli and Luigi Rinieri, attending the French Court.</p>"
1339,157,124,1570-07-28,1570,7,,,,Merchant,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 40.</p>",<p>He sent a letter to Vincenzo Pinelli.</p>
1290,173,126,,1570,,,,,Clergyman,false,true,"<p>DBI, ad vocem.</p>",<p>He obtained the abbey of Saint-Victor.</p>
1402,327,124,1569-03-01,1569,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 437</p>","<p>Bill of exchange sent from Giovanni Francesco Cavalcanti from Florence to Bernardo Barbigi, Domenico Barbigi and Niccol&ograve; Dell'Ancisa in Lyon in favor of Pier Antonio Bandini</p>"
1482,153,1,1569-03-30,1569,3,,1569,7,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 44-47.</p>",<p>He sent letters to Vincenzo Pinelli. In July he moved to England.</p>
1340,157,124,,1569,,,,,Merchant,true,false,,
1483,439,124,,1569,3,,,,Merchant,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 44</p>",<p>He was mentioned in letters of Jacopo Corbinelli. Pierantonio Bandini accused Corbinelli of having diverted his son Francesco from business to devote himself to literature.&nbsp;</p>
1592,153,1,1569-10-16,1569,10,1570-07-10,1570,7,Courtesan,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 47-51</p>",<p>He was named tutor of Duke of Alen&ccedil;on. He sent letters to Pinelli.</p>
1525,551,177,,1569,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 95-96</p>","<p>During the wars of religion, he helped defending the city.</p>"
955,70,124,,1569,,,,,Banker,false,true,"<p>Picot, Les italiens en France, p. 107.</p>",<p>He had business in Lyon.</p>
1403,328,124,1569-03-01,1569,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 437</p>","<p>Bill of exchange sent from Giovanni Francesco Cavalcanti to Bernardo Barbigi, Domenico Barbigi and Niccol&ograve; Dell'Ancisa in Lyon in favor of Pier Antonio Bandini</p>"
1639,440,194,,1569,6,,,,Exile,false,false,"<p>BAM, B 9 inf., cc. 95r-99r</p>",<p>He was killed by agents of the Duke Cosimo I de' Medici.</p>
1401,326,124,1569-03-01,1569,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 437</p>","<p>Bill of exchange sent from Giovanni Francesco Cavalcanti of Florence to Bernardo Barbigi, Domenico Barbigi and Niccol&ograve; Dell'Ancisa in Lyon in favor of Pier Antonio Bandini</p>"
1400,325,124,1569-03-01,1569,3,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 437</p>","<p>Bill of exchange from Giovanni Francesco Cavalcanti of Florence to Domenico Barbigi, Bernardo Barbigi and Niccol&ograve; Dell'Ancisa in Lyon in favor of Pier Antonio Bandini</p>"
1481,153,124,1569-03-14,1569,3,,,,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 43</p>",<p>He sent a letter to Scipione d'Affitti.</p>
1080,79,1,,1568,,,1569,,Lady-in-waiting to Catherine de' Medici,false,true,"<p>1568: Dubost, La France italienne, p. 138</p>
<p>1569: Calderini De Marchi, Jacopo Corbinelli, pp. 41-42.</p>","<p>1568: She bought a house in Paris.</p>
<p>1569: She was mentioned in letters of Jacopo Corbinelli.</p>"
1247,153,161,,1568,11,,,,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 41.</p>","<p>In a letter to Vincenzo Pinelli, he wrote about his journey from Lyon to Paris, saying he stayed in Moulins for a few days.</p>"
1431,341,110,1568-02-06,1568,2,,,,Clergyman,false,false,"<p>Cheney, Catholic Hierarchy, ad vocem</p>",<p>He was appointed Archbishop of Aix</p>
1253,158,124,,1568,6,,1568,10,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 40.</p>",<p>He was mentioned in letters of Jacopo Corbinelli.</p>
1246,153,124,1568-06-27,1568,6,1568-10-26,1568,10,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 40-41.</p>",<p>He sent letters to Vincenzo Pinelli.</p>
1243,147,1,1568-09-11,1568,9,,,,Merchant,false,false,"<p>BNF, Italien 1726, cc. 268r-269v.</p>",<p>His name appears in a letter of Giovanni Correr to the Doge of Venice.</p>
1480,153,1,1568-11-12,1568,11,1569-01-25,1569,1,Exile,false,false,"<p>Calderini De Marchi, Jacopo Corbinelli, pp. 42-43.</p>",<p>He sent letters to Vincenzo Pinelli.</p>
